creation_date,pandas,matplotlib,numpy,seaborn,geopandas,geoviews,altair,yellowbrick,vega,holoviews,hvplot,bokeh
2008-09-30,0,2,3,0,0,0,0,0,0,0,0,0
2008-10-31,0,0,2,0,0,0,0,0,0,0,0,0
2008-11-30,0,0,3,0,0,0,0,0,0,0,0,0
2008-12-31,0,2,4,0,0,0,0,0,0,0,0,0
2009-01-31,0,1,7,0,0,0,0,0,0,0,0,0
2009-02-28,0,3,7,0,0,0,0,0,0,0,0,0
2009-03-31,0,3,4,0,0,0,0,0,0,0,0,0
2009-04-30,0,7,7,0,0,0,0,0,0,0,0,0
2009-05-31,0,7,7,0,0,0,0,0,0,0,0,0
2009-06-30,0,2,13,0,0,0,0,0,0,0,0,0
2009-07-31,0,6,6,0,0,0,0,0,0,0,0,0
2009-08-31,0,13,9,0,0,0,0,0,0,0,0,0
2009-09-30,0,11,8,0,0,0,0,0,0,0,0,0
2009-10-31,0,10,27,0,0,0,0,0,0,0,0,0
2009-11-30,0,12,39,0,0,0,0,0,0,0,0,0
2009-12-31,0,11,26,0,0,0,0,0,0,0,0,0
2010-01-31,0,16,21,0,0,0,0,0,0,0,0,0
2010-02-28,0,25,40,0,0,0,0,0,0,0,0,0
2010-03-31,0,33,39,0,0,0,0,0,0,0,0,0
2010-04-30,0,22,42,0,0,0,0,0,0,0,0,0
2010-05-31,0,19,31,0,0,0,0,0,0,0,0,0
2010-06-30,0,28,43,0,0,0,0,0,0,0,0,0
2010-07-31,0,28,36,0,0,0,0,0,0,0,0,0
2010-08-31,0,35,49,0,0,0,0,0,0,0,0,0
2010-09-30,0,29,42,0,0,0,0,0,0,0,0,0
2010-10-31,0,35,51,0,0,0,0,0,0,0,0,0
2010-11-30,0,38,66,0,0,0,0,0,0,0,0,0
2010-12-31,0,23,64,0,0,0,0,0,0,0,0,0
2011-01-31,0,40,51,1,0,0,0,0,0,0,0,0
2011-02-28,0,57,62,0,0,0,0,0,0,0,0,0
2011-03-31,1,74,116,0,0,0,0,0,0,0,0,0
2011-04-30,2,58,101,0,0,0,0,0,0,0,0,0
2011-05-31,0,66,93,0,0,0,0,0,0,0,0,0
2011-06-30,1,63,85,0,0,0,0,0,0,0,0,0
2011-07-31,0,58,95,0,0,0,0,0,0,0,0,0
2011-08-31,0,74,124,0,0,0,0,0,0,0,0,0
2011-09-30,1,61,120,0,0,0,0,0,0,0,0,0
2011-10-31,4,83,139,1,0,0,0,0,0,0,0,0
2011-11-30,2,83,107,0,0,0,0,0,0,0,0,0
2011-12-31,1,94,108,1,0,0,0,0,0,0,0,0
2012-01-31,6,88,144,0,0,0,0,0,0,0,0,0
2012-02-29,4,119,150,0,0,0,0,0,0,0,0,0
2012-03-31,30,104,167,0,0,0,0,0,0,0,0,0
2012-04-30,26,110,156,0,0,0,0,0,0,0,0,0
2012-05-31,43,123,172,0,0,0,0,0,0,0,0,0
2012-06-30,50,125,178,0,0,0,0,0,0,0,0,0
2012-07-31,66,150,203,0,0,0,0,0,0,0,0,0
2012-08-31,88,164,222,0,0,0,0,0,0,0,0,0
2012-09-30,93,115,230,0,0,0,0,0,0,0,0,0
2012-10-31,103,176,247,0,0,0,0,0,0,0,0,0
2012-11-30,120,173,279,0,0,0,0,0,0,0,0,0
2012-12-31,124,159,209,0,0,0,0,0,0,0,0,0
2013-01-31,156,206,255,0,0,0,0,0,0,0,0,0
2013-02-28,186,221,283,1,0,0,0,0,0,0,0,0
2013-03-31,173,228,328,0,0,0,0,0,0,0,0,0
2013-04-30,190,237,384,0,0,0,0,0,0,0,0,0
2013-05-31,226,240,362,0,0,0,0,0,1,0,0,0
2013-06-30,246,205,295,0,0,0,0,0,0,0,0,0
2013-07-31,289,266,415,0,0,0,0,0,0,0,0,1
2013-08-31,284,235,337,0,0,0,0,0,0,0,0,0
2013-09-30,241,273,394,0,0,0,0,0,0,0,0,0
2013-10-31,359,310,451,0,0,0,0,0,1,0,0,0
2013-11-30,356,317,486,0,1,0,0,0,1,0,0,0
2013-12-31,333,247,402,2,0,0,0,0,2,0,0,2
2014-01-31,451,337,487,0,0,0,0,0,1,0,0,2
2014-02-28,406,360,556,4,1,0,0,0,0,0,0,2
2014-03-31,527,402,565,3,1,0,0,0,0,0,0,7
2014-04-30,493,349,506,9,1,0,0,0,0,0,0,5
2014-05-31,462,316,509,6,0,0,0,0,2,0,0,3
2014-06-30,461,274,435,2,0,0,0,0,0,0,0,7
2014-07-31,485,379,481,5,0,0,0,0,2,0,0,18
2014-08-31,480,326,467,11,0,0,0,0,2,0,0,7
2014-09-30,489,266,425,12,0,0,0,0,3,0,0,9
2014-10-31,486,262,520,12,2,0,0,0,1,0,0,11
2014-11-30,516,337,459,10,0,0,0,0,0,0,0,8
2014-12-31,417,280,420,17,1,0,0,0,0,0,0,20
2015-01-31,485,289,495,15,0,0,0,0,0,0,0,19
2015-02-28,536,319,552,6,1,0,0,0,1,0,0,14
2015-03-31,674,376,646,23,0,0,0,0,1,0,0,29
2015-04-30,707,359,593,21,0,0,0,0,3,0,0,21
2015-05-31,671,393,626,18,3,0,0,0,1,0,0,13
2015-06-30,770,375,600,26,3,0,0,0,0,0,0,15
2015-07-31,861,515,651,50,2,0,0,0,3,0,0,37
2015-08-31,756,377,560,25,0,0,0,0,0,1,0,19
2015-09-30,803,363,533,17,2,0,0,0,0,0,0,34
2015-10-31,946,383,601,41,6,0,0,0,1,0,0,37
2015-11-30,895,498,668,44,4,0,0,0,1,0,0,26
2015-12-31,892,380,584,38,3,0,0,0,3,0,0,39
2016-01-31,913,466,685,34,1,0,0,0,2,0,0,32
2016-02-29,1039,468,752,47,4,0,0,0,4,0,0,22
2016-03-31,1115,530,807,50,3,0,0,0,2,0,0,34
2016-04-30,1195,527,820,48,3,0,0,0,1,0,0,35
2016-05-31,1279,482,690,49,2,0,0,0,0,1,0,47
2016-06-30,1285,495,769,40,5,0,0,0,6,0,0,38
2016-07-31,1471,494,789,36,5,0,0,0,3,0,0,39
2016-08-31,1369,478,758,62,8,0,0,0,2,2,0,53
2016-09-30,1315,425,762,34,5,0,0,0,1,0,0,51
2016-10-31,1348,452,794,50,7,0,0,0,1,0,0,32
2016-11-30,1502,457,836,37,9,0,1,0,2,0,0,39
2016-12-31,1415,384,746,35,1,0,1,0,2,1,0,39
2017-01-31,1535,441,798,45,5,1,0,0,1,4,0,74
2017-02-28,1564,537,931,48,9,0,0,0,3,0,0,77
2017-03-31,1985,659,1089,62,5,1,0,0,0,4,0,66
2017-04-30,1838,685,1024,65,3,0,5,0,1,5,0,56
2017-05-31,1923,620,963,56,8,1,2,0,7,3,0,64
2017-06-30,1979,629,956,55,6,2,1,0,4,3,0,61
2017-07-31,2077,631,1014,73,3,1,1,0,7,3,0,63
2017-08-31,2135,533,979,80,8,0,1,0,5,8,0,44
2017-09-30,1966,473,909,64,10,0,1,0,0,6,0,65
2017-10-31,2173,566,1097,46,0,0,0,0,1,10,0,81
2017-11-30,2138,624,1076,51,5,0,1,1,4,5,0,61
2017-12-31,1871,521,925,39,10,0,0,0,2,8,1,49
2018-01-31,2189,574,1002,59,8,0,0,0,2,5,0,74
2018-02-28,2213,524,1011,56,13,1,2,2,5,10,0,104
2018-03-31,2668,593,1057,68,15,1,1,0,10,6,0,60
2018-04-30,2482,570,968,65,12,0,4,0,3,3,0,60
2018-05-31,2576,569,958,74,13,1,7,0,1,16,0,79
2018-06-30,2690,612,931,75,12,0,9,0,10,9,0,82
2018-07-31,2986,655,1045,88,13,2,4,0,7,6,0,66
2018-08-31,2910,624,976,103,12,1,6,0,8,6,0,57
2018-09-30,2533,595,899,78,17,1,7,0,3,6,0,56
2018-10-31,2886,649,1002,92,17,0,12,0,8,12,0,56
2018-11-30,2914,694,1020,82,21,3,11,0,7,13,0,61
2018-12-31,2446,608,913,95,15,0,4,0,10,5,0,31
2019-01-31,2824,578,921,96,18,0,8,2,9,15,0,74
2019-02-28,2970,620,1076,80,23,0,7,0,8,17,0,85
2019-03-31,3289,721,1214,118,35,2,18,1,13,15,2,89
2019-04-30,3221,690,1131,115,32,0,14,1,4,19,0,93
2019-05-31,3187,703,1014,117,27,1,19,0,13,14,2,95
2019-06-30,2882,568,898,97,30,3,16,1,4,15,4,69
2019-07-31,3492,645,1069,119,35,0,9,2,9,12,3,60
2019-08-31,3391,655,1029,96,32,1,9,0,0,8,5,62
2019-09-30,3030,550,948,74,22,0,11,1,7,17,4,61
2019-10-31,3731,713,1196,104,31,1,18,4,14,10,7,55
2019-11-30,3493,698,1166,113,30,2,15,1,14,17,9,60
2019-12-31,3315,618,1032,104,26,0,14,0,15,18,5,60
2020-01-31,3754,706,1031,125,23,1,19,0,16,20,10,56
2020-02-29,3765,715,1191,132,43,2,22,3,12,11,0,43
2020-03-31,3938,894,1218,158,39,6,23,1,14,6,5,71
2020-04-30,4822,1074,1516,189,59,1,45,0,15,18,1,98
2020-05-31,5001,1179,1615,225,38,2,39,2,10,8,1,98
2020-06-30,4862,1019,1475,212,44,1,40,1,10,9,5,67
2020-07-31,4637,995,1444,191,44,2,30,2,15,4,1,47
2020-08-31,4049,778,1181,161,37,1,13,1,16,3,2,43
2020-09-30,4172,929,1257,173,36,2,19,0,14,6,1,60
2020-10-31,4476,988,1432,180,56,3,28,2,25,15,4,59
2020-11-30,4300,1024,1416,195,53,1,28,4,17,11,1,56
2020-12-31,4036,922,1307,151,55,2,20,2,20,17,3,44
2021-01-31,3969,912,1254,216,39,3,31,3,15,15,3,46
2021-02-28,4190,929,1259,162,56,0,30,1,11,5,2,48
2021-03-31,4990,1019,1519,207,49,1,31,1,16,12,1,62
2021-04-30,4335,1005,1351,209,62,0,28,4,17,7,2,59
2021-05-31,4217,824,1316,174,58,3,31,3,14,8,0,37
2021-06-30,4331,749,1214,166,66,0,44,2,25,8,4,38
2021-07-31,4170,826,1228,153,57,5,21,2,15,7,1,33
2021-08-31,4175,822,1095,170,52,0,16,2,17,13,3,31
